type,uri,dc:identifier,collections,notation,prefLabel,altLabel,broader,broaderTransitive,broadMatch,changeNote,closeMatch,definition,editorialNote,exactMatch,example,hiddenLabel,historyNote,inScheme,mappingRelation,note,related,relatedMatch,scopeNote,semanticRelation,topConceptOf,seeAlso
skos:Concept,concept:geotechnischonderzoek,be.vlaanderen.bodemenondergrond.data.id.concept.boringtype.geotechnischonderzoek,,geotechnischonderzoek,Geotechnische boring,Geotechnisch onderzoek,,,,,,"Boring met als doel 'geotechnisch onderzoek' naar de fysische en mechanische eigenschappen en de stabiliteit van de ondergrond gerelateerd aan bouw- en infrastructuurwerken.",,,,,,conceptscheme:boringtype,,,,,,,conceptscheme:boringtype,"https://navigator.emis.vito.be/detail?woId=70341&woLang=nl&version=(versie%202025-04-17)|https://data.bodemenondergrond.vlaanderen.be/doc/conceptscheme/erkenningstype"
skos:Concept,concept:geotechnischeboringmonstername,be.vlaanderen.bodemenondergrond.data.id.concept.boringtype.geotechnischeboringmonstername,,geotechnischeboringmonstername,Geotechnische boring - (dis)continue monstername,,concept:geotechnischonderzoek,,,,,"Boring met monstername voor geotechnisch onderzoek naar de fysische en mechanische eigenschappen en stabiliteit van de grond. De boring wordt uitgevoerd door een boorbedrijf erkend voor boorwerkzaamheden volgens discipline D3 van de VLAREL-erkenning artikel 6, 7°, a) of valt onder bepaalde boorwerkzaamheden buiten het toepassingsgebied van deze disciplines.",,,,,,conceptscheme:boringtype,,,,,,,conceptscheme:boringtype,"https://data.bodemenondergrond.vlaanderen.be/doc/conceptscheme/erkenningstype"
skos:Concept,concept:geotechnischeboringpeilfilter,be.vlaanderen.bodemenondergrond.data.id.concept.boringtype.geotechnischeboringpeilfilter,,geotechnischeboringpeilfilter,Geotechnische boring - peilfilters,,concept:geotechnischonderzoek,,,,,"Boring met het plaatsen van peilfilters voor geotechnisch onderzoek naar de fysische en mechanische eigenschappen en stabiliteit van de grond. De boring wordt uitgevoerd door een boorbedrijf erkend voor boorwerkzaamheden volgens discipline D3 van de VLAREL-erkenning artikel 6, 7°, a) of valt onder bepaalde boorwerkzaamheden buiten het toepassingsgebied van deze disciplines.",,,,,,conceptscheme:boringtype,,,,,,,conceptscheme:boringtype,"https://data.bodemenondergrond.vlaanderen.be/doc/conceptscheme/erkenningstype"
skos:Concept,concept:geotechnischeboringwaterspanningsmeter,be.vlaanderen.bodemenondergrond.data.id.concept.boringtype.geotechnischeboringwaterspanningsmeter,,geotechnischeboringwaterspanningsmeter,Geotechnische boring - waterspanningsmeters,,concept:geotechnischonderzoek,,,,,"Boring met het plaatsen van waterspanningsmeters voor geotechnisch onderzoek naar de fysische en mechanische eigenschappen en stabiliteit van de grond. De boring wordt uitgevoerd door een boorbedrijf erkend voor boorwerkzaamheden volgens discipline D3 van de VLAREL-erkenning artikel 6, 7°, a) of valt onder bepaalde boorwerkzaamheden buiten het toepassingsgebied van deze disciplines.",,,,,,conceptscheme:boringtype,,,,,,,conceptscheme:boringtype,"https://data.bodemenondergrond.vlaanderen.be/doc/conceptscheme/erkenningstype"
skos:Concept,concept:geotechnischeboringgronddrukmeter,be.vlaanderen.bodemenondergrond.data.id.concept.boringtype.geotechnischeboringgronddrukmeter,,geotechnischeboringgronddrukmeter,Geotechnische boring - gronddrukmeters,,concept:geotechnischonderzoek,,,,,"Boring met het plaatsen van gronddrukmeters voor geotechnisch onderzoek naar de fysische en mechanische eigenschappen en stabiliteit van de grond. De boring wordt uitgevoerd door een boorbedrijf erkend voor boorwerkzaamheden volgens discipline D3 van de VLAREL-erkenning artikel 6, 7°, a) of valt onder bepaalde boorwerkzaamheden buiten het toepassingsgebied van deze disciplines.",,,,,,conceptscheme:boringtype,,,,,,,conceptscheme:boringtype,"https://data.bodemenondergrond.vlaanderen.be/doc/conceptscheme/erkenningstype"
skos:Concept,concept:geotechnischeboringinclinometer,be.vlaanderen.bodemenondergrond.data.id.concept.boringtype.geotechnischeboringinclinometer,,geotechnischeboringinclinometer,Geotechnische boring - inclinometers,,concept:geotechnischonderzoek,,,,,"Boring met het plaatsen van inclinometers voor geotechnisch onderzoek naar de fysische en mechanische eigenschappen en stabiliteit van de grond. De boring wordt uitgevoerd door een boorbedrijf erkend voor boorwerkzaamheden volgens discipline D3 van de VLAREL-erkenning artikel 6, 7°, a) of valt onder bepaalde boorwerkzaamheden buiten het toepassingsgebied van deze disciplines.",,,,,,conceptscheme:boringtype,,,,,,,conceptscheme:boringtype,"https://data.bodemenondergrond.vlaanderen.be/doc/conceptscheme/erkenningstype"
skos:Concept,concept:geotechnischeboringextensometer,be.vlaanderen.bodemenondergrond.data.id.concept.boringtype.geotechnischeboringextensometer,,geotechnischeboringextensometer,Geotechnische boring - extensometers,,concept:geotechnischonderzoek,,,,,"Boring met het plaatsen van extensometers voor geotechnisch onderzoek naar de fysische en mechanische eigenschappen en stabiliteit van de grond. De boring wordt uitgevoerd door een boorbedrijf erkend voor boorwerkzaamheden volgens discipline D3 van de VLAREL-erkenning artikel 6, 7°, a) of valt onder bepaalde boorwerkzaamheden buiten het toepassingsgebied van deze disciplines.",,,,,,conceptscheme:boringtype,,,,,,,conceptscheme:boringtype,"https://data.bodemenondergrond.vlaanderen.be/doc/conceptscheme/erkenningstype"
skos:Concept,concept:geotechnischeboringanderinstrument,be.vlaanderen.bodemenondergrond.data.id.concept.boringtype.geotechnischeboringanderinstrument,,geotechnischeboringanderinstrument,Geotechnische boring - ander instrumentarium,,concept:geotechnischonderzoek,,,,,"Boring met het plaatsen van een instrument anders dan een peilfilter, waterspanningsmeter, gronddrukmeter, inclinometer of extensometer voor geotechnisch onderzoek naar de fysische en mechanische eigenschappen en stabiliteit van de grond. De boring wordt uitgevoerd door een boorbedrijf erkend voor boorwerkzaamheden volgens discipline D3 van de VLAREL-erkenning artikel 6, 7°, a) of valt onder bepaalde boorwerkzaamheden buiten het toepassingsgebied van deze disciplines.",,,,,,conceptscheme:boringtype,,,,,,,conceptscheme:boringtype,"https://data.bodemenondergrond.vlaanderen.be/doc/conceptscheme/erkenningstype"
skos:Concept,concept:geothermie,be.vlaanderen.bodemenondergrond.data.id.concept.boringtype.geothermie,,geothermie,Boring voor warmteopslag voor gebruik in (ondiepe) geothermie,,,,,,,"Boring met als doel 'geothermie' uitgevoerd voor ondiepe geothemische energie opslag in een boorgat (BEO, bodemlus, BTES) of voor koude-warmteopslag (KWO, WKO, ATES).",,,,,,conceptscheme:boringtype,,,,,,,conceptscheme:boringtype,
skos:Concept,concept:grondwaterwinningkoudewarmteopslag,be.vlaanderen.bodemenondergrond.data.id.concept.boringtype.grondwaterwinningkoudewarmteopslag,,grondwaterwinningkoudewarmteopslag,"Boring voor koude-warmteopslag (KWO, WKO, ATES)",,concept:geothermie,,,,,"Boring voor de aanleg van grondwaterwinningsputten en grondwaterwinningen die gebruikt worden voor thermische energieopslag in watervoerende lagen (inclusief KWO: koude- en warmte opslag, WKO: warmte koude opslag, ATES: aquifer thermal energie storage) met inbegrip van terugpompingen.  De boring wordt uitgevoerd door een boorbedrijf erkend voor boorwerkzaamheden volgens discipline D2 van de VLAREL-erkenning artikel 6, 7°, a) of valt onder bepaalde boorwerkzaamheden buiten het toepassingsgebied van deze disciplines.",,,,,,conceptscheme:boringtype,,,,,,,conceptscheme:boringtype,"https://navigator.emis.vito.be/detail?woId=70341&woLang=nl&version=(versie%202025-04-17)|https://data.bodemenondergrond.vlaanderen.be/doc/conceptscheme/erkenningstype"
skos:Concept,concept:thermischeenergieopslag,be.vlaanderen.bodemenondergrond.data.id.concept.boringtype.thermischeenergieopslag,,thermischeenergieopslag,"Boring voor thermische energieopslag in boorgat (BEO, bodemlus, BTES)",,concept:geothermie,,,,,"Boring in het kader van thermische energieopslag in boorgaten. Voorbeelden zijn boorgat energieopslag (BEO), geothermische opslag per boorgat (BTES) of bodemlus. De boring wordt uitgevoerd door een boorbedrijf erkend voor boorwerkzaamheden volgens discipline D4 van de VLAREL-erkenning artikel 6, 7°, a) of valt onder bepaalde boorwerkzaamheden buiten het toepassingsgebied van deze disciplines.",,,,,,conceptscheme:boringtype,,,,,,,conceptscheme:boringtype,"https://navigator.emis.vito.be/detail?woId=70341&woLang=nl&version=(versie%202025-04-17)|https://data.bodemenondergrond.vlaanderen.be/doc/conceptscheme/erkenningstype"
skos:Concept,concept:grondverzet,be.vlaanderen.bodemenondergrond.data.id.concept.boringtype.grondverzet,,grondverzet,Boring i.h.k.v. grondverzet,,,,,,,"Boring uitgevoerd i.h.k.v. grondverzet regelgeving.",,,,,,conceptscheme:boringtype,,,,,,,conceptscheme:boringtype,
skos:Concept,concept:grondverzetpeilput,be.vlaanderen.bodemenondergrond.data.id.concept.boringtype.grondverzetpeilput,,grondverzetpeilput,Boring i.h.k.v. grondverzet voor de aanleg van een peilput,,concept:grondverzet,,,,,"Boring i.h.k.v. grondverzet voor de aanleg van een peilput.	",,,,,,conceptscheme:boringtype,,,,,,,conceptscheme:boringtype,
skos:Concept,concept:grondwatermonitoring,be.vlaanderen.bodemenondergrond.data.id.concept.boringtype.grondwatermonitoring,,grondwatermonitoring,Boring voor het monitoren van grondwater,,,,,,,"Boring met als doel 'grondwatermonitoring' uitgevoerd voor de monitoring van de kwaliteit en/of kwantiteit van het grondwater.",,,,,,conceptscheme:boringtype,,,,,,,conceptscheme:boringtype,
skos:Concept,concept:aanlegpeilput,be.vlaanderen.bodemenondergrond.data.id.concept.boringtype.aanlegpeilput,,aanlegpeilput,Boring voor de aanleg van een peilput,,concept:grondwatermonitoring,,,,,"Boring voor de aanleg van een peilput.",,,,,,conceptscheme:boringtype,,,,,,,conceptscheme:boringtype,
skos:Concept,concept:aanlegpeilputinrichting,be.vlaanderen.bodemenondergrond.data.id.concept.boringtype.aanlegpeilputinrichting,,aanlegpeilputinrichting,Boring voor aanleg van een peilput i.h.k.v. milieuvoorwaarden voor de exploitatie van een inrichting,,concept:grondwatermonitoring,,,,,"Boring voor de aanleg van peilputten ter naleving van de milieuvoorwaarden voor de exploitatie van inrichtingen.",,,,,,conceptscheme:boringtype,,,,,,,conceptscheme:boringtype,"https://navigator.emis.vito.be/detail?woId=70341&woLang=nl&version=(versie%202025-04-17)|https://data.bodemenondergrond.vlaanderen.be/doc/conceptscheme/erkenningstype"
skos:Concept,concept:aanlegpeilputanalyses,be.vlaanderen.bodemenondergrond.data.id.concept.boringtype.aanlegpeilputanalyses,,aanlegpeilputanalyses,Boring voor aanleg van een peilput i.h.k.v. bodem- en grondwateranalyses,,concept:grondwatermonitoring,,,,,"Boringen voor de aanleg van peilputten in het kader van bodem- en grondwateranalyses.",,,,,,conceptscheme:boringtype,,,,,,,conceptscheme:boringtype,"https://navigator.emis.vito.be/detail?woId=70341&woLang=nl&version=(versie%202025-04-17)|https://data.bodemenondergrond.vlaanderen.be/doc/conceptscheme/erkenningstype"
skos:Concept,concept:grondwaterwinning,be.vlaanderen.bodemenondergrond.data.id.concept.boringtype.grondwaterwinning,,grondwaterwinning,Boring i.h.k.v. een grondwaterwinning,,,,,,,"Boring met als doel 'grondwaterwinning' uitgevoerd voor winning van grondwater ten behoeve van watervoorziening.",,,,,,conceptscheme:boringtype,,,,,,,conceptscheme:boringtype,
skos:Concept,concept:grondwaterwinningbedrijfsgebondentoepassing,be.vlaanderen.bodemenondergrond.data.id.concept.boringtype.grondwaterwinningbedrijfsgebondentoepassing,,grondwaterwinningbedrijfsgebondentoepassing,Boring i.h.k.v. een grondwaterwinning voor bedrijfsgebonden toepassingen,,concept:grondwaterwinning,,,,,"Boring voor de aanleg van  grondwaterwinningsputten en grondwaterwinning  voor bedrijfsgebonden toepassingen. De boring wordt uitgevoerd door een boorbedrijf erkend voor boorwerkzaamheden volgens discipline D2 van de VLAREL-erkenning artikel 6, 7°, a) of valt onder bepaalde boorwerkzaamheden buiten het toepassingsgebied van deze disciplines.",,,,,,conceptscheme:boringtype,,,,,,,conceptscheme:boringtype,"https://navigator.emis.vito.be/detail?woId=70324&woLang=nl&version=(versie%202025-04-17)|https://data.bodemenondergrond.vlaanderen.be/doc/conceptscheme/erkenningstype"
skos:Concept,concept:grondwaterwinninghuishoudtoepassing,be.vlaanderen.bodemenondergrond.data.id.concept.boringtype.grondwaterwinninghuishoudtoepassing,,grondwaterwinninghuishoudtoepassing,Boring i.h.k.v. een grondwaterwinning voor huishoudelijke toepassingen,,concept:grondwaterwinning,,,,,"Boring voor de aanleg van een grondwaterwinning tot maximaal 500 m³ per jaar, waarvan het water uitsluitend voor huishoudelijke doeleinden wordt gebruikt. De boring wordt uitgevoerd door een boorbedrijf erkend voor boorwerkzaamheden volgens discipline D2 van de VLAREL-erkenning artikel 6, 7°, a) of valt onder bepaalde boorwerkzaamheden buiten het toepassingsgebied van deze disciplines.",,,,,,conceptscheme:boringtype,,,,,,,conceptscheme:boringtype,"https://navigator.emis.vito.be/detail?woId=70324&woLang=nl&version=(versie%202025-04-17)|https://data.bodemenondergrond.vlaanderen.be/doc/conceptscheme/erkenningstype"
skos:Concept,concept:grondwaterwinningopenbarewatervoorziening,be.vlaanderen.bodemenondergrond.data.id.concept.boringtype.grondwaterwinningopenbarewatervoorziening,,grondwaterwinningopenbarewatervoorziening,Boring i.h.k.v. een grondwaterwinning voor openbare watervoorziening,,concept:grondwaterwinning,,,,,"Boring voor de aanleg van grondwaterwinningsputten en grondwaterwinning voor de openbare watervoorziening. De boring wordt uitgevoerd door een boorbedrijf erkend voor boorwerkzaamheden volgens discipline D2 van de VLAREL-erkenning artikel 6, 7°, a) of valt onder bepaalde boorwerkzaamheden buiten het toepassingsgebied van deze disciplines.",,,,,,conceptscheme:boringtype,,,,,,,conceptscheme:boringtype,"https://navigator.emis.vito.be/detail?woId=70324&woLang=nl&version=(versie%202025-04-17)|https://data.bodemenondergrond.vlaanderen.be/doc/conceptscheme/erkenningstype"
skos:Concept,concept:hydrogeologischonderzoek,be.vlaanderen.bodemenondergrond.data.id.concept.boringtype.hydrogeologischonderzoek,,hydrogeologischonderzoek,Boring voor hydrogeologisch onderzoek,,,,,,,"Boring met als doel 'hydrogeologisch onderzoek' uitgevoerd voor onderzoek naar grondwaterstroming, de chemische eigenschappen van grondwater, en transport van deeltjes, opgeloste stoffen en energie, evenals het management van het duurzame gebruik van grondwaterbronnen.",,,,,,conceptscheme:boringtype,,,,,,,conceptscheme:boringtype,
skos:Concept,concept:verkennendhydrogeologischonderzoek,be.vlaanderen.bodemenondergrond.data.id.concept.boringtype.verkennendhydrogeologischonderzoek,,verkennendhydrogeologischonderzoek,Boring voor verkennend hydrogeologisch onderzoek,,concept:hydrogeologischonderzoek,,,,,"Boring voor verkennend hydrogeologisch onderzoek. De boring wordt uitgevoerd door een boorbedrijf erkend voor boorwerkzaamheden volgens discipline D4 van de VLAREL-erkenning artikel 6, 7°, a) of valt onder bepaalde boorwerkzaamheden buiten het toepassingsgebied van deze disciplines.",,,,,,conceptscheme:boringtype,,,,,,,conceptscheme:boringtype,https://data.bodemenondergrond.vlaanderen.be/doc/conceptscheme/erkenningstype
skos:Concept,concept:pompproef,be.vlaanderen.bodemenondergrond.data.id.concept.boringtype.pompproef,,pompproef,"Boring voor proefpomping, pompproef of bemalingsproef",,concept:hydrogeologischonderzoek,,,,,"Boring voor aanleg van een grondwwaterwinningsput of grondwaterwinning voor proefpomping, pompproef of bemalingsproef gedurende minder dan 3 maanden. De boring wordt uitgevoerd door een boorbedrijf erkend voor boorwerkzaamheden volgens disciplines D1, D2, D3 en D5  van de VLAREL-erkenning artikel 6, 7°, a) en voor boorwerkzaamheden uitgevoerd buiten VLAREL erkende boorbedrijven.",,,,,,conceptscheme:boringtype,,,,,,,conceptscheme:boringtype,"https://navigator.emis.vito.be/detail?woId=70324&woLang=nl&version=(versie%202025-04-17)|https://data.bodemenondergrond.vlaanderen.be/doc/conceptscheme/erkenningstype"
skos:Concept,concept:hydrogeologischonderzoekhistorisch,be.vlaanderen.bodemenondergrond.data.id.concept.boringtype.hydrogeologischonderzoekhistorisch,,hydrogeologischonderzoekhistorisch,Historische hydrogeologische boring,,concept:hydrogeologischonderzoek,,,,,"Boring voor ingave van historisch hydrogeologisch onderzoek.",,,,,,conceptscheme:boringtype,,,,,,,conceptscheme:boringtype,
skos:Concept,concept:infiltratie,be.vlaanderen.bodemenondergrond.data.id.concept.boringtype.infiltratie,,infiltratie,Boring i.h.k.v. een infiltratie,,,,,,,"Boring voor de aanleg van een infiltratie uitgevoerd voor het kunstmatig aanvullen van grondwater door injectie uit diverse bronnen.",,,,,,conceptscheme:boringtype,,,,,,,conceptscheme:boringtype,
skos:Concept,concept:grondwaterwinningkunstmatigaanvullengrondwater,be.vlaanderen.bodemenondergrond.data.id.concept.boringtype.grondwaterwinningkunstmatigaanvullengrondwater,,grondwaterwinningkunstmatigaanvullengrondwater,Boring voor het kunstmatig aanvullen van grondwater,,concept:infiltratie,,,,,"Boring uitgevoerd voor de aanleg van putten voor het direct en kunstmatig aanvullen van grondwater. De boring wordt uitgevoerd door een boorbedrijf erkend voor boorwerkzaamheden volgens discipline D2 van de VLAREL-erkenning artikel 6, 7°, a) of valt onder bepaalde boorwerkzaamheden buiten het toepassingsgebied van deze disciplines.",,,,,,conceptscheme:boringtype,,,,,,,conceptscheme:boringtype,"https://navigator.emis.vito.be/detail?woId=70337&woLang=nl&version=(versie%202025-04-17)|https://data.bodemenondergrond.vlaanderen.be/doc/conceptscheme/erkenningstype"
skos:Concept,concept:kathodischebescherming,be.vlaanderen.bodemenondergrond.data.id.concept.boringtype.kathodischebescherming,,kathodischebescherming,Boring voor kathodische bescherming,,,,,,,"Boring met als doel 'kathodische bescherming'. De boring wordt uitgevoerd door een boorbedrijf erkend voor boorwerkzaamheden volgens discipline D4 van de VLAREL-erkenning artikel 6, 7°, a) of valt onder bepaalde boorwerkzaamheden buiten het toepassingsgebied van deze disciplines.",,,,,,conceptscheme:boringtype,,,,,,,conceptscheme:boringtype,https://data.bodemenondergrond.vlaanderen.be/doc/conceptscheme/erkenningstype
skos:Concept,concept:monitoringvervuildesites,be.vlaanderen.bodemenondergrond.data.id.concept.boringtype.monitoringvervuildesites,,monitoringvervuildesites,Boring voor de monitoring van vervuilde sites,,,,,,,"Boring met als doel 'monitoring van vervuilde sites' uitgevoerd in het kader van een bodemonderzoek en/of in het kader van bodemdecreet regelgeving.",,,,,,conceptscheme:boringtype,,,,,,,conceptscheme:boringtype,https://data.bodemenondergrond.vlaanderen.be/doc/conceptscheme/erkenningstype
skos:Concept,concept:aanlegpeilputverontreiniging,be.vlaanderen.bodemenondergrond.data.id.concept.boringtype.aanlegpeilputverontreiniging,,aanlegpeilputverontreiniging,Boring voor aanleg van een peilput i.h.k.v. bodemdecreet (milieuboring),,concept:monitoringvervuildesites,,,,,"Boring voor de aanleg van een peilput i.h.k.v. een bodemverontreinining.",,,,,,conceptscheme:boringtype,,,,,,,conceptscheme:boringtype,
skos:Concept,concept:bodemverontreiniging,be.vlaanderen.bodemenondergrond.data.id.concept.boringtype.bodemverontreiniging,,bodemverontreiniging,Boring voor verkennend onderzoek naar bodemverontreiniging,Milieuboring,concept:monitoringvervuildesites,,,,,"Boring voor verkennend onderzoek naar bodemverontreiniging in een orienterend bodemonderzoek (OBO), een beschrijvend bodemonderzoek (BBO).",,,,,,conceptscheme:boringtype,,,,,,,conceptscheme:boringtype,
skos:Concept,concept:sanering,be.vlaanderen.bodemenondergrond.data.id.concept.boringtype.sanering,,sanering,Sanering,,,,,,,"Boring met als doel 'sanering' uitgevoerd voor sanering in het algemeen: het verwijderen van vervuiling of verontreiniging uit grondwater, grond en ander gesteente.",,,,,,conceptscheme:boringtype,,,,,,,conceptscheme:boringtype,
skos:Concept,concept:bemalingbodemsanering,be.vlaanderen.bodemenondergrond.data.id.concept.boringtype.bemalingbodemsanering,,bemalingbodemsanering,Bemaling i.h.k.v. bodemsanering - sanering,,concept:sanering,,,,,"Boring voor de aanleg van een bemaling in het kader van sanering in een bodemsaneringsproject (BSP) met het oog om een verontreining niet te laten verspreiden. De boring wordt uitgevoerd door een boorbedrijf erkend voor boorwerkzaamheden volgens discipline D1 van de VLAREL-erkenning artikel 6, 7°, a) of valt onder bepaalde boorwerkzaamheden buiten het toepassingsgebied van deze disciplines.",,,,,,conceptscheme:boringtype,,,,,,,conceptscheme:boringtype,https://data.bodemenondergrond.vlaanderen.be/doc/conceptscheme/erkenningstype
skos:Concept,concept:bemalingbodemsaneringmitigatie,be.vlaanderen.bodemenondergrond.data.id.concept.boringtype.bemalingbodemsaneringmitigatie,,bemalingbodemsaneringmitigatie,Bemaling i.h.k.v. bodemsanering - mitigatie,,concept:sanering,,,,,"Boring voor de aanleg van een bemaling in het kader van mitigatie in een bodemsaneringsproject (BSP) met het oog om te saneneren, bijvoorbeeld via pump and treat methode. De boring wordt uitgevoerd door een boorbedrijf erkend voor boorwerkzaamheden volgens discipline D1 van de VLAREL-erkenning artikel 6, 7°, a) of valt onder bepaalde boorwerkzaamheden buiten het toepassingsgebied van deze disciplines.",,,,,,conceptscheme:boringtype,,,,,,,conceptscheme:boringtype,https://data.bodemenondergrond.vlaanderen.be/doc/conceptscheme/erkenningstype
skos:Concept,concept:grondwateronttrekkingbodemsanering,be.vlaanderen.bodemenondergrond.data.id.concept.boringtype.grondwateronttrekkingbodemsanering,,grondwateronttrekkingbodemsanering,Boring voor grondwateronttrekking incl. drijflaagverwijdering (bodemsanering),,concept:sanering,,,,,"Boring uitgevoerd voor grondwateronttrekking inclusief drijflaagverwijdering in een bodemsaneringsproject (BSP).",,,,,,conceptscheme:boringtype,,,,,,,conceptscheme:boringtype,
skos:Concept,concept:grondwaterherinfiltratiebodemsanering,be.vlaanderen.bodemenondergrond.data.id.concept.boringtype.grondwaterherinfiltratiebodemsanering,,grondwaterherinfiltratiebodemsanering,Boring voor herinfiltratie van opgepompt grondwater (bodemsanering),,concept:sanering,,,,,"Boring uitgevoerd voor herinfiltratie van opgepompt grondwater in een bodemsaneringsproject (BSP).",,,,,,conceptscheme:boringtype,,,,,,,conceptscheme:boringtype,
skos:Concept,concept:bodemsanering,be.vlaanderen.bodemenondergrond.data.id.concept.boringtype.bodemsanering,,bodemsanering,Boring i.h.k.v. bodemsanering,,concept:sanering,,,,,"Boring voor sanering in het kader van een bodemsaneringsproject (BSP).",,,,,,conceptscheme:boringtype,,,,,,,conceptscheme:boringtype,
skos:Concept,concept:grondwaterwinningondergrondsebeluchting,be.vlaanderen.bodemenondergrond.data.id.concept.boringtype.grondwaterwinningondergrondsebeluchting,,grondwaterwinningondergrondsebeluchting,Boring i.h.k.v. een grondwaterwinning met ondergrondse beluchting,,concept:sanering,,,,,"oring voor de aanleg van grondwaterwinningsputten en grondwaterwinning met inbegrip van terugpompingen van belucht grondwater in dezelfde freatische watervoerende laag voor ondergrondse beluchting. De boring wordt uitgevoerd door een boorbedrijf erkend voor boorwerkzaamheden volgens discipline D2 van de VLAREL-erkenning artikel 6, 7°, a) of valt onder bepaalde boorwerkzaamheden buiten het toepassingsgebied van deze disciplines.",,,,,,conceptscheme:boringtype,,,,,,,conceptscheme:boringtype,"https://navigator.emis.vito.be/detail?woId=70324&woLang=nl&version=(versie%202025-04-17)|https://data.bodemenondergrond.vlaanderen.be/doc/conceptscheme/erkenningstype"
skos:Concept,concept:opvullenboorgat,be.vlaanderen.bodemenondergrond.data.id.concept.boringtype.opvullenboorgat,,boringopvullen,Boring voor het opvullen van een boorgat of een grondwaterwinning,,,,,,,"Boring voor het opvullen van een boorgat of een grondwaterwinning.",,,,,,conceptscheme:boringtype,,,,,,,conceptscheme:boringtype,
